id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18776454,Boutique hotel in New Orleans · ★4.80 · 1 bedroom · 1 bed · 1 private bath,1192986,Dayna,,Marigny,29.96436,-90.06005,Private room,155,2,10,2023-05-29,0.34,2,63,3,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
18778652,Rental unit in New Orleans · ★4.73 · 2 bedrooms · 3 beds · 1 bath,130689542,Brian,,Milan,29.93371,-90.09821,Entire home/apt,170,2,40,2022-04-30,0.72,1,0,0,"19str-22526, 19-OSTR-00000"
18805467,Home in New Orleans · ★4.81 · 3 bedrooms · 3 beds · 2 baths,58189075,Lee & Luis,,Marigny,29.96746,-90.05215,Entire home/apt,280,3,127,2023-08-14,1.69,3,116,26,"19STR-23511, 19-OSTR-0000"
18806803,Condo in New Orleans · ★4.86 · 2 bedrooms · 2 beds · 2 baths,36427337,Ryan,,Lower Garden District,29.92741,-90.07782,Entire home/apt,200,30,73,2020-03-12,1.00,1,270,0,17STR-14604
18809744,Cottage in New Orleans · ★4.95 · 2 bedrooms · 2 beds · 1 bath,130953820,Greg,,Irish Channel,29.92617,-90.08163,Entire home/apt,169,3,192,2023-07-15,2.52,1,231,27,"20-RSTR-29928, 23-OSTR-00176"
18886067,Home in New Orleans · ★4.94 · 5 bedrooms · 5 beds · 3.5 baths,115426400,Kirk,,West Riverside,29.91922,-90.11585,Entire home/apt,1079,30,34,2023-06-26,0.47,1,120,8,"19RSTR-26117, 19OSTR-26118"
18891378,Bed and breakfast in New Orleans · ★5.0 · 1 bedroom · 2 beds · 1 private bath,130923573,Em,,Treme - Lafitte,29.97268,-90.07566,Private room,200,30,3,2019-01-01,0.05,7,0,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
18915100,Home in New Orleans · 5 bedrooms · 5 beds · 2.5 baths,131831473,Janice,,St. Roch,29.98533,-90.04863,Entire home/apt,500,30,2,2019-03-31,0.04,2,365,0,17STR-11493
18928238,Bed and breakfast in New Orleans · 1 bedroom · 2 beds · 1 private bath,130923573,Em,,Treme - Lafitte,29.97274,-90.07616,Private room,200,30,1,2018-04-14,0.02,7,0,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
18928714,Bed and breakfast in New Orleans · 1 bedroom · 1 bed · 1 private bath,130923573,Em,,Treme - Lafitte,29.97236,-90.07605,Private room,159,30,1,2019-01-01,0.02,7,0,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
